Speech Time (Minutes),Additional Speech Time (Seconds),Total Speech Time (Seconds),Year,President,GOP,Dog-Owning Households,Cat-Owning Households
50,36,3036,1966,Lyndon B. Johnson ,0,,
71,16,4276,1967,Lyndon B. Johnson ,0,,
50,13,3013,1968,Lyndon B. Johnson ,0,,
43,41,2621,1969,Lyndon B. Johnson ,0,,
36,40,2200,1970,Richard Nixon ,1,,
33,17,1997,1971,Richard Nixon ,1,,
28,55,1735,1972,Richard Nixon ,1,,
42,51,2571,1974,Richard Nixon ,1,,
41,0,2460,1975,Gerald R. Ford ,1,,
50,38,3038,1976,Gerald R. Ford ,1,,
44,55,2695,1977,Gerald R. Ford ,1,,
46,4,2764,1978,Jimmy Carter ,0,,
32,32,1952,1979,Jimmy Carter ,0,,
32,4,1924,1980,Jimmy Carter ,0,4.8,3.7
40,14,2414,1982,Ronald Reagan ,1,4.7,3.8
46,0,2760,1983,Ronald Reagan ,1,4.8,3.9
43,2,2582,1984,Ronald Reagan ,1,4.9,4.1
40,0,2400,1985,Ronald Reagan ,1,5,4.1
31,0,1860,1986,Ronald Reagan ,1,5.1,4.2
34,39,2079,1987,Ronald Reagan ,1,5.3,4.4
44,0,2640,1988,Ronald Reagan ,1,5.9,4.5
35,43,2143,1990,George Bush ,1,5.9,4.6
48,0,2880,1991,George Bush ,1,5.9,4.7
51,4,3064,1992,George Bush ,1,5.8,4.7
63,44,3824,1994,William J. Clinton ,0,5.3,4.7
84,58,5098,1995,William J. Clinton ,0,5.2,4.8
66,41,4001,1996,William J. Clinton ,0,5.38,4.9
64,21,3861,1997,William J. Clinton ,0,5.1,4.9
76,43,4603,1998,William J. Clinton ,0,5.4,5.1
78,40,4720,1999,William J. Clinton ,0,5.3,5
88,49,5329,2000,William J. Clinton ,0,5.1,5
47,49,2869,2002,George W. Bush ,1,4.8,4.5
59,35,3575,2003,George W. Bush ,1,,
53,55,3235,2004,George W. Bush ,1,,
53,20,3200,2005,George W. Bush ,1,,
51,8,3068,2006,George W. Bush ,1,,
49,24,2964,2007,George W. Bush ,1,,
52,56,3176,2008,George W. Bush ,1,,
69,20,4160,2010,Barack Obama ,0,,
61,34,3694,2011,Barack Obama ,0,,
64,44,3884,2012,Barack Obama ,0,,
59,51,3591,2013,Barack Obama ,0,,
65,7,3907,2014,Barack Obama ,0,,
59,57,3597,2015,Barack Obama ,0,,
58,44,3524,2016,Barack Obama ,0,,
