id,gender,agegroup,incomegroup,ethgroup,usregion,quantity,price,treatment,confidence
1,1,1,3,5,,5,1,0,8
1,1,1,3,5,,4,1.5,0,8
1,1,1,3,5,,4,1,1,8
1,1,1,3,5,,3,1.5,1,8
2,1,1,3,4,7,10,1,0,8
2,1,1,3,4,7,0,1.5,0,8
2,1,1,3,4,7,0,1,1,8
2,1,1,3,4,7,0,1.5,1,8
3,1,2,2,3,5,10,,0,10
3,1,2,2,3,5,6,,0,10
3,1,2,2,3,5,10,,1,10
3,1,2,2,3,5,6,,1,10
4,1,3,4,4,5,7,,0,8
4,1,3,4,4,5,5,,0,8
4,1,3,4,4,5,3,,1,8
4,1,3,4,4,5,2,,1,8
5,1,4,2,5,3,10,,0,8
,,,,,,6,,0,8
,,,,,,0,,1,8
,,,,,,6,,1,8
6,1,3,5,5,8,7,,0,9
,,,,,,6,,0,9
,,,,,,4,,1,9
,,,,,,2,,1,9
7,1,4,3,5,3,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
8,2,1,1,4,9,3,,0,9
,,,,,,3,,0,9
,,,,,,0,,1,9
,,,,,,0,,1,9
9,2,4,1,5,2,5,,0,10
,,,,,,4,,0,10
,,,,,,4,,1,10
,,,,,,3,,1,10
10,2,4,2,0,9,0,,0,0
,,,,,,0,,0,0
,,,,,,0,,1,0
,,,,,,0,,1,0
11,1,4,5,5,8,10,,0,7
,,,,,,4,,0,7
,,,,,,5,,1,7
,,,,,,3,,1,7
12,2,4,2,5,4,10,,0,10
,,,,,,5,,0,10
,,,,,,10,,1,10
,,,,,,0,,1,10
13,1,1,1,4,7,3,,0,10
,,,,,,2,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
14,2,4,3,5,3,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
15,2,4,3,5,5,9,,0,10
,,,,,,6,,0,10
,,,,,,6,,1,10
,,,,,,6,,1,10
16,1,4,3,3,5,10,,0,10
,,,,,,9,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
17,2,4,2,5,2,10,,0,10
,,,,,,0,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
18,2,2,3,5,3,10,,0,1
,,,,,,4,,0,1
,,,,,,10,,1,1
,,,,,,4,,1,1
19,2,4,3,4,2,10,,0,10
,,,,,,6,,0,10
,,,,,,10,,1,10
,,,,,,6,,1,10
20,1,3,2,5,4,0,,0,2
,,,,,,0,,0,2
,,,,,,0,,1,2
,,,,,,0,,1,2
21,2,4,2,5,3,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
22,2,4,5,5,9,5,,0,10
,,,,,,0,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
23,2,1,2,5,6,10,,0,10
,,,,,,8,,0,10
,,,,,,10,,1,10
,,,,,,8,,1,10
24,2,4,3,5,8,10,,0,8
,,,,,,6,,0,8
,,,,,,0,,1,8
,,,,,,0,,1,8
25,2,4,2,5,8,1,,0,10
,,,,,,1,,0,10
,,,,,,1,,1,10
,,,,,,1,,1,10
26,2,1,1,5,5,8,,0,0
,,,,,,2,,0,0
,,,,,,0,,1,0
,,,,,,0,,1,0
27,2,1,1,5,7,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
28,1,4,5,5,9,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
29,1,1,2,2,,10,,0,7
,,,,,,7,,0,7
,,,,,,4,,1,7
,,,,,,1,,1,7
30,2,4,4,5,2,10,,0,10
,,,,,,6,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
31,1,1,1,2,,2,,0,2
,,,,,,2,,0,2
,,,,,,2,,1,2
,,,,,,2,,1,2
32,2,4,5,5,2,10,,0,10
,,,,,,2,,0,10
,,,,,,1,,1,10
,,,,,,2,,1,10
33,2,4,2,4,7,0,,0,10
,,,,,,0,,0,10
,,,,,,0,,1,10
,,,,,,0,,1,10
34,1,3,5,5,6,2,,0,5
,,,,,,2,,0,5
,,,,,,1,,1,5
,,,,,,1,,1,5
35,1,4,2,5,9,10,,0,1
,,,,,,6,,0,1
,,,,,,10,,1,1
,,,,,,6,,1,1
36,2,1,4,5,7,2,,0,0
,,,,,,2,,0,0
,,,,,,7,,1,0
,,,,,,3,,1,0
37,2,2,3,5,3,2,,0,7
,,,,,,2,,0,
,,,,,,0,,1,
,,,,,,0,,1,
38,2,4,5,5,7,10,,0,10
,,,,,,6,,0,
,,,,,,10,,1,
,,,,,,6,,1,
39,1,5,2,5,6,7,,0,6
,,,,,,4,,0,
,,,,,,5,,1,
,,,,,,3,,1,
40,2,4,5,5,2,10,,0,1
,,,,,,6,,0,
,,,,,,10,,1,
,,,,,,6,,1,
41,2,4,5,5,9,10,,0,8
,,,,,,10,,0,
,,,,,,0,,1,
,,,,,,0,,1,
42,1,1,2,5,5,4,,0,8
,,,,,,4,,0,
,,,,,,4,,1,
,,,,,,2,,1,
43,2,1,5,5,8,7,,0,8
43,2,1,5,5,8,6,,0,
43,2,1,5,5,8,5,,1,
43,2,1,5,5,8,4,,1,
44,1,4,2,5,8,10,,0,10
,,,,,,7,,0,
,,,,,,0,,1,
,,,,,,10,,1,
45,2,3,5,5,1,0,,0,10
,,,,,,0,,0,
,,,,,,0,,1,
,,,,,,0,,1,
46,2,1,2,5,2,10,,0,9
,,,,,,7,,0,
,,,,,,10,,1,
,,,,,,7,,1,
